[2025-01-14 17:55:14,444] 14 root - INFO - Initate the data ingestion
[2025-01-14 17:55:38,836] 59 root - INFO - Performed train test split as dataframe
[2025-01-14 17:55:38,836] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-14 17:55:38,836] 63 root - INFO - Exporting train and test file path
[2025-01-14 17:55:38,994] 68 root - INFO - Exporting  train and test file path
[2025-01-14 17:55:39,009] 17 root - INFO - Data initiation completed
[2025-01-14 17:55:39,009] 20 root - INFO - Initate the data validation
[2025-01-14 17:55:39,075] 32 root - INFO - Required Number of  columns: 2
[2025-01-14 17:55:39,075] 33 root - INFO - Data frame has columns: 50
[2025-01-14 17:55:39,075] 32 root - INFO - Required Number of  columns: 2
[2025-01-14 17:55:39,075] 33 root - INFO - Data frame has columns: 50
[2025-01-14 17:55:39,319] 22 root - INFO - data validation is completed
