[2025-01-14 18:01:25,087] 14 root - INFO - Initate the data ingestion
[2025-01-14 18:01:49,328] 59 root - INFO - Performed train test split as dataframe
[2025-01-14 18:01:49,328] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-14 18:01:49,328] 63 root - INFO - Exporting train and test file path
[2025-01-14 18:01:49,497] 68 root - INFO - Exporting  train and test file path
[2025-01-14 18:01:49,497] 17 root - INFO - Data initiation completed
[2025-01-14 18:01:49,520] 20 root - INFO - Initate the data validation
[2025-01-14 18:01:49,576] 32 root - INFO - Required Number of  columns: 3
[2025-01-14 18:01:49,576] 33 root - INFO - Data frame has columns: 50
[2025-01-14 18:01:49,576] 32 root - INFO - Required Number of  columns: 3
[2025-01-14 18:01:49,576] 33 root - INFO - Data frame has columns: 50
[2025-01-14 18:01:49,880] 22 root - INFO - data validation is completed
